"","x","y"
"9",72.925397701468,2.32112509908412
"8",72.9462412246667,2.27329905211986
"7",73.0415670167388,2.16507137727289
"6",73.1016799254408,2.18352966499387
"5",73.3436674397954,2.34459530311012
"4",73.3613048101476,2.41116671897451
"13",73.3946048782031,2.78134844184125
"14",73.5500150878099,2.89037098386587
"15",73.5629049539064,2.9498116371476
"16",73.6117647706178,3.10323977990915
"17",73.7501542563207,3.44837805877469
"31",73.4341271466646,3.844848151023
"30",73.4419215631903,3.9184096613767
"29",73.471870932522,3.93739201891014
"28",73.5063586330903,4.09873210340719
"27",73.5035822499404,4.19504443044903
"26",73.592885647697,4.34083004448534
"25",73.6105216834231,4.35841448424329
"24",73.6670893585817,4.38874442795389
"23",73.7012339003441,4.45108171280702
"22",73.5526631618957,4.61581105161791
"36",73.4895017649765,4.71868320223209
"44",73.4973186988255,5.24578772654329
"43",73.5817477578107,5.27858507594893
"42",73.6270609945738,5.33173424635492
"41",73.6437008059414,5.34296525774734
"40",73.6327610992582,5.40318565564856
"39",73.5349735924809,5.45045223688155
"38",73.4597671576558,5.54250518804593
"74",73.4421250275985,5.83738046325789
"75",73.4268254070295,5.90678489422827
"76",73.3901777321934,5.96372146209854
"51",73.2127856124821,6.29007751147456
"52",73.183239012593,6.34856654702445
"53",73.0433388984726,6.43340095214325
"54",73.028611640755,6.57848707654956
"55",73.0413904941454,6.62044663286366
"56",73.0649724772314,6.66555639566406
"57",73.1005428917538,6.70438624864016
"58",73.1505026655801,6.75621235207964
"59",73.1875033864858,6.82598434700295
"60",73.2078858545908,6.9027026825915
"61",73.1946852684819,6.96183232236474
"79",72.9490317519755,7.05359297061262
"78",72.8840515629703,7.10420238893368
"82",72.8919120687151,6.98787777394037
"68",72.9257729967293,6.56123395429831
"69",72.8943012407737,6.44806940753858
"84",72.9123428466879,5.97959295021121
"103",72.8807375414738,5.49098556967402
"102",72.939931606742,5.46451589271569
"101",72.9520289848556,5.35060475706813
"100",72.8590114067933,5.23578833696981
"99",72.9110667999634,5.03232099782168
"105",72.9516873382839,4.4292287414544
"106",72.7031969727346,3.99897042927193
"107",72.6936465007431,3.71981447114341
"108",72.794764510235,3.51265296314606
"117",72.834617671672,3.30807606759961
"116",72.8675494211098,2.96255930581072
"122",72.9034229316902,2.67859572427935
"91",72.925397701468,2.32112509908412
