x,y
57.6512927590293,-20.4848991838424
57.5247888527787,-20.5132178687384
57.3832987811636,-20.5037094051967
57.3283150572051,-20.4500175920454
57.317669712153,-20.427641696863
57.3651086769969,-20.4064543596233
57.3621114439239,-20.3376213518106
57.3857792499136,-20.2285840796747
57.4160616392367,-20.18383228931
57.4864449400181,-20.1439380835806
57.5150736835078,-20.0559847958199
57.5757418150186,-19.9971770158717
57.656563755123,-19.9899423153509
57.7371789894983,-20.0984628231638
57.7919560077277,-20.2125643856642
57.7806905454881,-20.3269760067584
57.7249833514775,-20.3688339169149
57.7066898944461,-20.4348763973839
57.6512927590293,-20.4848991838424
