NumFAD,lat,lon,AFADs,released,buoy
1,1.75,73.07,D,0,1
2,1.64,73.51,B,0,1
3,1.64,73.28,C,0,1
4,1.75,73.77,A,0,1
5,1.01,73.07,N,0,1
6,1.1,73.3,E,0,1
7,0.93,73.59,F,14,1
8,0.62,73.73,G,9,1
9,0.77,72.87,M,0,1
10,0.2,73.8,H,0,1
11,0.04,73.51,I,0,1
12,0.43,72.75,L,0,1
13,0.01,73.11,J,0,1
14,0.17,72.83,K,0,1
15,-0.51,73.47,P,0,1
16,-0.28,73.61,O,0,1
17,-0.35,73.19,U,10,1
18,-0.91,73.15,Q,0,1
19,-0.53,72.88,T,4,1
20,-0.74,73.46,S,0,1
21,-0.83,72.93,R,0,1
22,7.31,72.71,NA,0,0
23,6.91,73.49,NA,0,0
24,7.02,72.5,NA,0,0
25,7.24,73.21,NA,0,0
26,6.38,72.38,NA,0,0
27,6.57,73.31,NA,0,0
28,6.69,72.62,NA,0,0
29,6.21,73.48,NA,0,0
30,6,72.69,NA,0,0
31,5.83,73.63,NA,0,0
32,5.42,72.59,NA,0,0
33,5.71,72.57,NA,0,0
34,5.13,72.67,NA,0,0
35,4.83,72.62,NA,0,0
36,5.23,73.8,NA,0,0
37,5.5,73.79,NA,0,0
38,4.42,73.93,NA,0,0
39,4.76,73.73,NA,0,0
40,3.87,73.69,NA,0,0
41,4.13,73.8,NA,0,0
42,4.27,72.54,NA,0,0
43,3.9,72.48,NA,0,0
44,3.42,72.52,NA,0,0
45,3.58,73.81,NA,0,0
46,2.84,73.8,NA,0,0
47,2.56,73.58,NA,0,0
48,3.14,73.82,NA,0,0
49,3.13,72.71,NA,0,0
50,2.55,72.67,NA,0,0
51,2.85,72.58,NA,0,0
52,2.21,72.7,NA,0,0
53,2.27,73.45,NA,0,0
54,2.03,73.02,NA,0,0
55,2.04,73.72,NA,0,0
