,NumFAD,Atoll,Island,Location,Latitude,Longitude,Deployed,lost,lat,lon,buoy,released
1,430,Ha.Alifu,Ihavandhoo,16.5 miles NW of Thuraakunu,07 18 26 N,72 42 40 E,31-Mar-15,0,7.30722222222222,72.7111111111111,0,0
2,444,Ha.Alifu,Filladhoo,14.5 miles E of Filladhoo,06 54 20 N,73 29 41 E,24-Jan-16,0,6.90555555555556,73.4947222222222,0,0
3,371,Ha.Alifu,Huvarafushi,20 miles W of Hathifushi,07 01 00 N,72 30 15 E,25-May-12,0,7.01666666666667,72.5041666666667,0,0
4,372,Ha.Alifu,Dhidhdhoo,17 miles N of Kelaa,07 14 20 N,73 12 42 E,25-May-12,0,7.23888888888889,73.2116666666667,0,0
5,396,Ha.Dhaalu,Makunudhoo,20 miles W of Makunudhoo,06 23 00 N,72 23 00 E,2-Apr-14,1,6.38333333333333,72.3833333333333,0,0
6,460,Ha.Dhaalu,Kulhudhufushi,15.5 miles SE of Kulhudhufushi,06 34 24 N,73 18 40 E,15-Aug-16,0,6.57333333333333,73.3111111111111,0,0
7,340,Ha.dhaalu,Bodunaagoshi,16 miles Wof Bodunaagoshi,06 41 17 N,72 37 28 E,3-Dec-15,0,6.68805555555556,72.6244444444444,0,0
8,404,shaviyani,Funadhoo,11.5 miles NE of Funadhoo,06 12 32 N,73 28 30 E,14-Jun-14,1,6.20888888888889,73.475,0,0
9,435,shaviyani,Komandoo,23 miles SW of komandoo,06 00 15 N,72 41 39 E,12-Sep-15,0,6.00416666666667,72.6941666666667,0,0
10,369,Noonu,Maafaru,8.5 miles E of Maafaru,05 49 52 N,73 37 32 E,18-May-12,0,5.83111111111111,73.6255555555556,1,0
